,urls
109,https://www.cnn.com/2022/03/02/media/journalism-crackdown-russia/index.html
110,https://www.cnn.com/2022/03/02/politics/sanctions-russians-belarusians/index.html
111,https://www.cnn.com/2022/03/02/economy/russia-imports-sanctions-economy/index.html
112,https://www.cnn.com/2022/03/03/europe/what-happens-next-russia-ukraine-cmd-intl/index.html
113,https://www.cnn.com/2022/03/03/middleeast/russia-ukraine-gulf-unga-03-03-2022-intl/index.html
114,https://www.cnn.com/2022/03/03/world/ukraine-holocaust-survivors-cnnheroes/index.html
115,https://www.cnn.com/2022/03/03/economy/russia-invasion-global-economy/index.html
116,https://www.cnn.com/2022/03/03/europe/ukraine-kharkiv-civilian-strikes-intl-cmd/index.html
117,https://www.cnn.com/2022/03/03/homes/us-mortgage-rate-march-3/index.html
118,https://www.cnn.com/2022/03/03/opinions/racist-media-coverage-ukraine-africa-makura-lgs-intl/index.html
119,https://www.cnn.com/2022/03/03/tennis/sergiy-stakhovsky-tennis-star-ukraine-cec/index.html
120,https://www.cnn.com/2022/03/03/tech/ukraine-russia-internet-icann/index.html
121,https://www.cnn.com/2022/03/03/football/amilcar-djau-codjovi-ukraine-russia-spt-intl/index.html
122,https://www.cnn.com/2022/03/03/europe/ukraine-synagogue-shelter-russia-cmd-intl/index.html
123,https://www.cnn.com/2022/03/03/politics/ukraine-tps-immigration-relief-us/index.html
124,https://www.cnn.com/2022/03/03/investing/russia-oil-sanctions-ukraine/index.html
125,https://www.cnn.com/2022/03/03/opinions/russia-germany-military-deal-scholz-loss/index.html
126,https://www.cnn.com/2022/03/03/cnn10/ten-content-fri-duplicate-2/index.html
127,https://www.cnn.com/2022/03/03/europe/ukraine-russia-invasion-thursday-intl-hnk/index.html
128,https://www.cnn.com/2022/03/04/media/mideast-summary-04-03-2022-intl/index.html
129,https://www.cnn.com/travel/article/russia-ukraine-hurt-travel-recovery-cmd/index.html
130,https://www.cnn.com/2022/03/03/opinions/realpolitik-putin-ukraine-mabry/index.html
131,https://www.cnn.com/europe/live-news/ukraine-russia-putin-news-03-04-22/h_d669cafcfcdc81a50180008a7f263dca
132,https://www.cnn.com/2022/03/04/business/russia-ukraine-supply-chain-oil/index.html
133,https://www.cnn.com/2022/03/03/europe/zaporizhzhia-nuclear-power-plant-fire-ukraine-intl-hnk/index.html
134,https://www.cnn.com/2022/03/04/perspectives/russia-ukraine-us-economy-oil-inflation/index.html
135,https://www.cnn.com/2022/03/04/politics/blinken-stoltenberg-no-fly-zone-warning/index.html
