,urls
130,https://www.foxnews.com/lifestyle/ukraine-devastation-video
131,https://www.foxnews.com/world/ukraine-american-trek-humanitarian-crisis-disaster
132,https://www.foxnews.com/entertainment/ukrainian-milla-jovovich-heartbroken-russia-invasion
133,https://www.foxnews.com/world/kyiv-photos-explosions-street-fighting
134,https://www.foxnews.com/entertainment/russia-ukraine-elizabeth-pipko-crisis-attack-democracy
135,https://www.foxnews.com/entertainment/ukraine-attack-sean-penn-putin
136,https://www.foxnews.com/sports/boxing-wladimir-klitschko-global-plea-russia-ukraine-war-no-time
137,https://www.foxnews.com/media/ukrainians-success-putin-scorched-earth-lindsey-graham
138,https://www.foxnews.com/world/russia-invades-ukraine-protests-tokyo-london-taipei-kremlin
139,https://www.foxnews.com/world/refugees-ukraine-russian-invasion-united-nations
140,https://www.foxnews.com/world/ukraine-parliament-member-more-surprises-putin-army
141,https://www.foxnews.com/lifestyle/ukrainian-american-pastor-ukraine-people-basement
142,https://www.foxnews.com/lifestyle/ukraine-children-help-russia-attack
143,https://www.foxnews.com/sports/ukraine-tennis-sergiy-stakhovsky-military-reserves-russia
144,https://www.foxnews.com/politics/biden-admin-ukrainians-protection-deportation
145,https://www.foxnews.com/tech/ukraine-russia-cyberattack-could-come-how-defend-yourself
146,https://www.foxnews.com/politics/sen-bill-hagerty-biden-spine-resolve-stop-putin
147,https://www.foxnews.com/world/petro-poroshenko-ukraine-president-battle-gear-streets
148,https://www.foxnews.com/world/ireland-news-host-rte-mccullagh-russia-ambassador-filatov-ukraine-war-invasion
149,https://www.foxnews.com/world/kyiv-born-ukrainian-exchange-student-texas-family-help
150,https://www.foxnews.com/world/video-purportedly-shows-ukrainian-man-offer-russians-a-tow-back-home-after-their-tank-runs-out-of-fuel
151,https://www.foxnews.com/lifestyle/alabama-doctor-adopt-ukraine-boy-war-zone
152,https://www.foxnews.com/us/ukraine-russia-churches-nonprofit-donations
153,https://www.foxnews.com/media/cpac-matt-schlapp-russia-ukraine
154,https://www.foxnews.com/entertainment/bethenny-frankel-ukraine-attack-russia-aid
155,https://www.foxnews.com/politics/arkansas-senate-candidate-jake-bequette-peace-in-world-american-strength
156,https://www.foxnews.com/live-news/russia-continues-ukraine-invasion-live-updates
157,https://www.foxnews.com/world/protests-support-ukraine-condemn-russia-putin
158,https://www.foxnews.com/world/russian-forces-kharkiv-kyiv-zelenskyy-putin
159,https://www.foxnews.com/us/worried-americans-reveal-resolve-of-relatives-in-ukraine-they-will-not-be-underestimated
160,https://www.foxnews.com/politics/russian-invasion-how-the-west-failed-over-decades-of-recent-history-to-hold-putin-back
161,https://www.foxnews.com/opinion/ukraine-heroism-inspire-us-allies-putin-nikki-haley
162,https://www.foxnews.com/media/nyt-journalist-media-russia-ukraine-racial-biases
163,https://www.foxnews.com/media/ukrainian-mother-captures-the-spirit-of-resistance-and-resilience-amid-russian-invasion
164,https://www.foxnews.com/world/former-miss-grand-ukraine-joins-ukrainian-military-warns-russian-invaders-will-be-killed
165,https://www.foxnews.com/lifestyle/ukraine-refugees-help-franklin-graham
166,https://www.foxnews.com/media/american-basketball-players-try-to-flee-ukraine
167,https://www.foxnews.com/entertainment/katheryn-winnick-zelesnkyy-ukrainian-strong
168,https://www.foxnews.com/politics/condoleezza-rice-putin-russia-erratic-ukraine
169,https://www.foxnews.com/entertainment/maks-chmerkovskiy-ukraine-russia-invasion-kirstie-alley-prayer
170,https://www.foxnews.com/world/eu-buys-weapons-ukraine-closes-airspace-russian-aircraft
171,https://www.foxnews.com/media/biden-has-made-an-enormous-mistake-handed-putin-financial-power-says-larry-kudlow
172,https://www.foxnews.com/live-news/russia-ukraine-war-day-6
173,https://www.foxnews.com/politics/pompeo-warning-russia-war-on-ukraine
174,https://www.foxnews.com/us/ukraine-war-ukrainians-fight-homeland
175,https://www.foxnews.com/world/russia-ukraine-kharkiv-casualties-devastation
176,https://www.foxnews.com/opinion/ukraine-russia-zelensky-win-rep-michael-waltz
177,https://www.foxnews.com/media/media-misjudgments-ukraine-give-way-reality-war-resistance
178,https://www.foxnews.com/sports/ukraine-war-russia-invasion-sports-world
179,https://www.foxnews.com/media/russia-media-prematurely-declared-victory-deleted-report
180,https://www.foxnews.com/world/ukrainian-hacker-country-united
181,https://www.foxnews.com/politics/ukraine-war-biden-zelenskyy-phone-call
182,https://www.foxnews.com/opinion/putin-nuclear-threats-ukraine-us-allies-respond-rebeccah-heinrichs
183,https://www.foxnews.com/media/kamala-harris-explanation-ukraine-crisis
184,https://www.foxnews.com/politics/house-republicans-ukraine-russia-putin-aid-biden
185,https://www.foxnews.com/sports/ukraine-war-putin-black-belt-invasion
186,https://www.foxnews.com/entertainment/ukraine-russia-sean-penn-walked-miles-poland-border-documentary
187,https://www.foxnews.com/lifestyle/ukraine-bravest-last-night-earth
188,https://www.foxnews.com/media/ukraine-russia-community-us-denounce-war-putin
189,https://www.foxnews.com/world/ukraine-refugees-europes-largest-refugee-crisis-this-century-un
190,https://www.foxnews.com/world/photos-ukraine-crisis-russia-intensifies-assault-as-day-six-of-the-war-leaves-trail-of-apocalyptic-rubble
191,https://www.foxnews.com/world/ukraine-claims-russia-illegal-vacuum-bomb-invasion-war-crime
192,https://www.foxnews.com/media/russia-ukraine-weapons-us-biden-mccarthy
193,https://www.foxnews.com/us/40-mile-long-russian-military-convoy-us-heading-in-wrong-direction-sotu
194,https://www.foxnews.com/lifestyle/everyday-ukrainians-struggling-gratitude
195,https://www.foxnews.com/us/american-citzen-joins-ukraines-fight-russia
196,https://www.foxnews.com/world/russia-is-exclusively-aiming-at-civilians-kharkiv-woman-says-shes-praying-to-stay-alive
197,https://www.foxnews.com/politics/dsa-members-aoc-tlaib-bush-bowman-silent-on-dsa-blaming-us-for-russian-invasion-of-ukraine
198,https://www.foxnews.com/world/ukraines-ambassador-texts-fallen-russian-soldier
199,https://www.foxnews.com/world/ukraine-russia-cyberattacks-putin-revenge-us
200,https://www.foxnews.com/media/ukraine-parliament-member-kira-rudik-fight-russia
201,https://www.foxnews.com/opinion/ukraine-putin-russian-leader-crazy-judith-miller
202,https://www.foxnews.com/entertainment/maksim-chmerkovskiy-safe-leaving-ukraine-poland-guilty-train-instagram-live
203,https://www.foxnews.com/media/cnn-jake-tapper-biden-russia-ukraine-crisis
204,https://www.foxnews.com/world/chechen-hit-squad-sent-murder-zelenskyy-eliminated
205,https://www.foxnews.com/politics/dan-sullivan-urge-biden-course-correct-military-energy-amid-rising-authoritarianism
206,https://www.foxnews.com/media/cpac-conservative-ukraine-russia-invasion-buck-sexton-military
207,https://www.foxnews.com/media/russia-ukraine-putin-land-grab-dana-perino
208,https://www.foxnews.com/lifestyle/ukrainian-bishop-ukraine-keeping-faith-religion-freedom
209,https://www.foxnews.com/live-news/biden-state-of-the-union-address-live-updates
210,https://www.foxnews.com/media/jen-psaki-says-russian-energy-sanctions-not-off-the-table
211,https://www.foxnews.com/politics/biden-ukraine-no-fly-not-happen
212,https://www.foxnews.com/politics/republicans-biden-stop-putin-oil-purchases
213,https://www.foxnews.com/media/justin-danhof-twitter-russia-ukraine
214,https://www.foxnews.com/world/zelenskyys-powerful-speech-moves-translator-to-tears
215,https://www.foxnews.com/opinion/biden-energy-keystone-pipeline-putin-russia-tim-scott
216,https://www.foxnews.com/politics/white-house-claims-biden-unified-us-poll-41-approval
217,https://www.foxnews.com/media/cruz-blasts-out-of-touch-biden-state-of-the-union
218,https://www.foxnews.com/lifestyle/russia-ukraine-war-humanitarian-situation
219,https://www.foxnews.com/world/ukraine-russia-reports-troops-dead-denies-conscripts
220,https://www.foxnews.com/world/russia-ukraine-war-photos-videos-devastation-urban-areas
221,https://www.foxnews.com/media/russia-ukraine-war-putin-miscalculation-brit-hume
222,https://www.foxnews.com/media/russia-ukraine-war-putin-nato-nuclear-nigel-farage
223,https://www.foxnews.com/media/ukraine-russia-war-biden-sotu-nikki-haley
224,https://www.foxnews.com/world/ukraine-advantages-urban-warfare-russia-invasion-kyiv
225,https://www.foxnews.com/politics/russia-ukraine-war-china-winner-former-fbi-agent
226,https://www.foxnews.com/world/ukrainian-lawmakers-ceos-fight-russia
227,https://www.foxnews.com/lifestyle/russia-ukraine-war-kentucky-mom-teen-girl
228,https://www.foxnews.com/world/russia-shuts-down-two-independent-news-outlets-who-refuse-to-toe-the-kremlins-line
229,https://www.foxnews.com/entertainment/russia-native-model-irina-shayk-support-ukraine-war-invasion
230,https://www.foxnews.com/opinion/combat-operations-ukraine-inflection-point-congress-stuart-bradin-michael-repass
231,https://www.foxnews.com/sports/olympic-medalist-stanislav-horuna-ukrainian-military-pleas-support-russian-invasion
232,https://www.foxnews.com/world/expect-air-warfare-in-ukraine-to-fundamentally-change-over-next-72-hours-former-fighter-pilot-says
233,https://www.foxnews.com/politics/karina-lipsom-virginia-russia-ukraine-war
234,https://www.foxnews.com/world/russia-ukraine-kharkiv-kyiv-putin-zelenskyy-seventh-day
235,https://www.foxnews.com/lifestyle/russia-ukraine-war-forces-india-adjust-entry-rules-pets
236,https://www.foxnews.com/media/ukrainian-born-lawmaker-biden-financing-putin-war
237,https://www.foxnews.com/media/russia-ukraine-war-biden-sotu-putin-execution-airstrikes
238,https://www.foxnews.com/media/russia-ukraine-war-detroit-american-trapped-kharkiv-bombing
239,https://www.foxnews.com/sports/russian-nhl-players-mostly-staying-silent-ukraine-war
240,https://www.foxnews.com/politics/un-passes-resolution-condemning-russias-invasion-of-ukraine
241,https://www.foxnews.com/world/ukraine-russie-refugees-un-one-million
242,https://www.foxnews.com/politics/psaki-mocked-pattern-putin-last-invading-ukraine-biden-vice-president-obama
243,https://www.foxnews.com/media/russian-journalist-state-media-ukraine
244,https://www.foxnews.com/world/ukrainian-port-city-mayor-reports-mass-casualties
245,https://www.foxnews.com/media/russia-ukraine-war-mcconnell-putin-afghanistan-biden
246,https://www.foxnews.com/world/russia-children-detained-anti-war-protesters-ukraine
247,https://www.foxnews.com/world/moldova-ukraine-refugees-jobs-labor-shortage
248,https://www.foxnews.com/us/zelenskyy-assassination-plot-thwarted-biden-pledges-to-slice-deficit
249,https://www.foxnews.com/world/moldova-history-russia-ukraine
250,https://www.foxnews.com/transcript/tucker-this-may-be-the-single-thing-that-unites-this-country
251,https://www.foxnews.com/media/madmen-putin-russia-ukraine-gowdy
252,https://www.foxnews.com/world/minister-no-lavrov-embodies-moscows-steely-posture
253,https://www.foxnews.com/media/montage-kamala-harris-most-awkward-moments-vice-president
254,https://www.foxnews.com/us/mercy-chefs-ukraine-refugees-feeding
255,https://www.foxnews.com/live-news/russia-ukraine-war-3-3-2022
256,https://www.foxnews.com/world/ukraine-war-russia-information-narrative
257,https://www.foxnews.com/opinion/ukraine-irregular-war-russia-brandon-webb
258,https://www.foxnews.com/media/watters-wild-information-war-waged-sidelines-russia-ukraine-war
259,https://www.foxnews.com/opinion/russia-war-ukraine-9-issues-congress-jason-chaffetz
260,https://www.foxnews.com/politics/russia-ukraine-war-gop-senators-biden-sanction-wagner-group-zelenskyy-assassination
261,https://www.foxnews.com/politics/us-official-slams-china-on-russia-ukraine-war-response-theyve-done-nothing-to-reach-diplomatic-solution
262,https://www.foxnews.com/world/house-democrat-malinowski-russia-ukrainian-people-war-tragedy-new-jersey
263,https://www.foxnews.com/lifestyle/russia-ukraine-war-american-priest-refugees-war-zone
264,https://www.foxnews.com/lifestyle/ukrainian-professor-independence-day-russia-ukraine-war
265,https://www.foxnews.com/world/ukraine-crisis-knowledge-communist-history-americans-understand-russia-invasion-expert
266,https://www.foxnews.com/media/ukraine-mp-world-war-iii-russian-invasion-attack-free-world
267,https://www.foxnews.com/media/russia-ukraine-war-american-paratrooper-fight
268,https://www.foxnews.com/media/russia-ukraine-war-joe-lieberman-us-nato-kilmeade
269,https://www.foxnews.com/media/rt-america-russia-ukraine-crisis
270,https://www.foxnews.com/media/ukrainian-born-congresswoman-on-russian-assault-its-not-a-war-its-an-extermination-of-people
271,https://www.foxnews.com/lifestyle/unicef-gives-aid-russia-ukraine-refugees
272,https://www.foxnews.com/politics/biden-ukraine-aid-congress-appropriations
273,https://www.foxnews.com/media/russia-ukraine-war-commander-georgian-soldiers-friends
274,https://www.foxnews.com/world/ukraine-russia-tech-war-kyiv
275,https://www.foxnews.com/world/ukraine-war-rush-iodine-pills-europe-putins-nuke-threat
276,https://www.foxnews.com/us/new-york-gun-drive-ukraine-russia-war
277,https://www.foxnews.com/opinion/nuke-negotiations-iran-russia-putin-ukraine-lieberman-wallace
278,https://www.foxnews.com/sports/capitals-alex-ovechkin-russian-invasion
279,https://www.foxnews.com/entertainment/ukrainian-stars-joining-fight-against-russia
280,https://www.foxnews.com/world/ukraine-military-kills-russian-general-sukhovetsky
281,https://www.foxnews.com/politics/rand-paul-white-house-ukraine-aid-expanding-debt-threatens-national-security
282,https://www.foxnews.com/politics/biden-russia-ukraine-war-revives-calls-for-unity
283,https://www.foxnews.com/media/mother-bomb-shelter-ukraine-putin-russia-ingraham
284,https://www.foxnews.com/lifestyle/ukrainian-national-anthem-unites-world-russia-ukraine-war
285,https://www.foxnews.com/sports/russia-ukraine-war-ukrainian-athletes-die-invasion
286,https://www.foxnews.com/politics/stacey-abrams-comparing-herself-zelenskyy-ukraine
287,https://www.foxnews.com/us/psaki-pressed-on-whether-us-financing-putins-war-by-buying-russian-oil
288,https://www.foxnews.com/world/ukrainian-newlyweds-yarnya-arieva-sviatoslav-fursin
289,https://www.foxnews.com/world/russian-citizens-reportedly-flee-country-over-fears-of-putins-martial-law-announcement
290,https://www.foxnews.com/world/ukraine-churches-prayers-money-friends-family-war-zone
291,https://www.foxnews.com/world/russian-victory-in-ukraine-would-be-complete-religious-freedom-catastrophe-human-rights-leader-warns
292,https://www.foxnews.com/world/american-central-ukraine-shelter-refugees
293,https://www.foxnews.com/world/kyiv-ukraine-shrines-memorials-risk
294,https://www.foxnews.com/world/russian-journalist-tv-rain-dozhd-flees-russia
295,https://www.foxnews.com/politics/pelosi-favors-banning-russian-oil-imports-united-states
296,https://www.foxnews.com/politics/conservatives-defend-texas-policy-investigating-transgender-treatments-as-child-abuse-amid-court-battle
297,https://www.foxnews.com/live-news/russia-ukraine-war-3-4-2022
298,https://www.foxnews.com/world/russia-ukraine-war-photos-show-devastation-9th-day-invasion
299,https://www.foxnews.com/world/russia-ukraine-war-weapons
300,https://www.foxnews.com/world/ukraine-conflict-heightens-the-risk-of-chinese-american-war-professor-says
301,https://www.foxnews.com/opinion/fight-ukraine-freedom-ed-skibicki
302,https://www.foxnews.com/politics/ukraine-mp-kyiv-aleppo-west-russia-war
303,https://www.foxnews.com/media/gop-lawmakers-media-bidens-handling-russia-pass
304,https://www.foxnews.com/world/russian-attacks-on-ukrainian-hospitals-could-be-war-crimes-lawyer-says
305,https://www.foxnews.com/sports/russia-ukraine-war-dayana-yastremska-lyon-open-semis
306,https://www.foxnews.com/world/biden-admin-mixed-messages-russian-war-crimes
307,https://www.foxnews.com/politics/bill-clinton-global-foundation-pandemic-ukraine-russia-war
308,https://www.foxnews.com/politics/harris-poland-trip-russia-ukraine-war
309,https://www.foxnews.com/media/us-mission-in-ukraine-revealed
310,https://www.foxnews.com/world/war-ukraine-complicates-path-home-american-detainees
311,https://www.foxnews.com/politics/congressman-brian-fitzpatrick-heads-ukraine-border
312,https://www.foxnews.com/world/zelenskyy-crowds-video-ukraine-rallies-europe
313,https://www.foxnews.com/us/virginia-teacher-suspended-russia-comments
314,https://www.foxnews.com/us/florida-sheriffs-ballistic-helmets-ukraine
315,https://www.foxnews.com/media/russia-ukraine-war-zelenskyy-putin-mercenaries-wagner-group
316,https://www.foxnews.com/sports/hockey-player-escaping-ukraine-russia-invasion
317,https://www.foxnews.com/world/russian-news-walks-crackdown-media
318,https://www.foxnews.com/sports/russian-belarusian-nhl-players-discrimination-racism-conflict-ukraine-agent
319,https://www.foxnews.com/entertainment/maksim-chmerkovskiy-leaving-ukraine-guilty
320,https://www.foxnews.com/lifestyle/ukraines-displaced-children-russia-reunited-moms-poland
321,https://www.foxnews.com/politics/mccaul-traveling-poland-ukraine-border-stand-refugees-against-putins-evil
322,https://www.foxnews.com/media/biden-ukraine-policy-jimmy-carter-failures-putin-zelenskyy
323,https://www.foxnews.com/media/russian-journalists-walk-off-set-tv-rain-silenced-kremlin-ukraine-invasion
324,https://www.foxnews.com/sports/ukrainian-tennis-player-eva-lys-russian-war
325,https://www.foxnews.com/media/don-bolduc-ingraham-putin-russia-ukraine-war-crime
326,https://www.foxnews.com/media/sen-graham-putin-war-criminal
327,https://www.foxnews.com/media/hannity-biden-administrations-dependence-russian-oil-unconscionable
328,https://www.foxnews.com/world/former-iran-president-ahmadinejad-zelenskyy-in-contrast-regime
329,https://www.foxnews.com/world/makeshift-maternity-wards-ukraine-russia
330,https://www.foxnews.com/politics/russia-ukraine-war-us-deterrent-strategy-putin
331,https://www.foxnews.com/world/blinken-china-call-ukraine-war-world-is-watching
